layer,beta_ratio,layers,accuracy,accuracy_sd,semantic_drift,semantic_drift_sd,attention_entropy,attention_entropy_sd,coherence_proxy,n,accuracy_drop,drift_increase,entropy_increase,strange_score,strange_candidate
9,0.35,9,0.0,0.0,0.4642619763811429,0.03606804450488985,0.33311833926321316,0.002895559512830318,1.0,24,0.75,0.05985436340173084,0.020687786823449017,1.5805421502251797,False
3,0.35,3,0.0,0.0,0.23317668586969376,0.02504922278315779,0.3326849954513212,0.004832803096983119,1.0,24,0.75,-0.17123092710971832,0.020254443011557044,1.520254443011557,False
8,0.35,8,0.041666666666666664,0.2041241452319315,0.4574940788249175,0.035778053753882634,0.33226644496123,0.00250685435651048,1.0,24,0.7083333333333334,0.053086465845505415,0.019835892521465837,1.489589025033638,False
10,0.35,10,0.041666666666666664,0.2041241452319315,0.48677514990170795,0.05436639985209226,0.32720351746926707,0.00264551882982641,0.9583333333333334,24,0.7083333333333334,0.08236753692229587,0.014772965029502927,1.4507318699260294,False
5,0.35,5,0.041666666666666664,0.2041241452319315,0.4740869551897049,0.055412644094706955,0.3357251084332044,0.003742520019078438,0.9583333333333334,24,0.7083333333333334,0.06967934221029282,0.02329455599344027,1.4467388746674665,False
2,0.35,2,0.0,0.0,0.18941624462604523,0.067059751602745,0.37327694962732494,0.005752622008087931,0.9166666666666666,24,0.75,-0.21499136835336685,0.0608463971875608,1.4307758640885972,False
1,0.35,1,0.125,0.3378319623460881,0.2055328612526258,0.07200814513922497,0.35491067815261584,0.0026186277436221006,1.0,24,0.625,-0.1988747517267863,0.0424801257128517,1.2924801257128518,False
7,0.35,7,0.4166666666666667,0.5036101551853349,0.41358237465222675,0.07455618901594073,0.33335488437054056,0.003062724563665486,1.0,24,0.3333333333333333,0.009174761672814669,0.02092433193077642,0.6967657602702577,False
4,0.35,4,0.375,0.49453535504684026,0.37040726592143375,0.15431299186684785,0.3482639502423505,0.003889306629345549,0.7916666666666666,24,0.375,-0.03400034705797833,0.035833397802586375,0.6221181065937142,False
11,0.35,11,0.5416666666666666,0.5089773777040515,0.4086579233407974,0.05474483735126651,0.3257215636161466,0.0029039932734524028,1.0,24,0.20833333333333337,0.0042503103613853455,0.013291011176382483,0.43420798820443457,False
13,0.35,13,0.7083333333333334,0.4643056214875365,0.4572611538072427,0.0347289788502775,0.3337373452765557,0.0028723006019804862,1.0,24,0.04166666666666663,0.052853540827830614,0.021306792836791544,0.15749366699795542,False
15,0.35,15,0.7083333333333334,0.46430562148753646,0.4212504451473554,0.04867449518196417,0.34178163898953545,0.00282395966305223,1.0,24,0.04166666666666663,0.0168428321679433,0.02935108654977131,0.12952725205104787,False
0,0.35,0,0.7083333333333334,0.4643056214875365,0.38382280866305035,0.049448049064913305,0.3370576102364187,0.003076691231553934,1.0,24,0.04166666666666663,-0.020584804316361727,0.024627057796654583,0.10796039112998784,False
14,0.35,14,0.9166666666666666,0.28232985128663995,0.45644429450233776,0.037936184654528964,0.3336304223242526,0.0025903010112566485,1.0,24,-0.16666666666666663,0.052036681522925676,0.021199869884488465,0.07323655140741414,False
12,0.35,12,0.875,0.3378319623460881,0.45792148013909656,0.039340008892635746,0.32416792756218155,0.0027915261070400317,1.0,24,-0.125,0.05351386715968448,0.011737375122417404,0.06525124228210188,False
6,0.35,6,0.7916666666666666,0.41485111699905336,0.2584650591015816,0.10671879860073415,0.33446695609018207,0.002778039155775356,1.0,24,-0.04166666666666663,-0.1459425538778305,0.022036403650417924,0.022036403650417924,False
