layer,beta_ratio,layers,accuracy,accuracy_sd,semantic_drift,semantic_drift_sd,attention_entropy,attention_entropy_sd,coherence_proxy,n,accuracy_drop,drift_increase,entropy_increase,strange_score,strange_candidate,trippy_score
8,0.35,8,0.05,0.21904291355759034,0.4559280103445053,0.04838130819646725,0.3319345418270677,0.002639662441350397,1.0,100,0.6499999999999999,0.0455502384901047,0.019802873078733685,1.3653531115688382,False,0.05245852178324143
9,0.35,9,0.03,0.1714466079977653,0.4626653379201889,0.041183419444076205,0.3328916901163757,0.002683569699304399,1.0,100,0.6699999999999999,0.05228756606578827,0.02076002136804167,1.4130475874338297,False,0.04907618979566976
5,0.35,5,0.02,0.14070529413628968,0.45082115709781645,0.08596444406959311,0.33563721945509317,0.0036114942959652443,0.99,100,0.6799999999999999,0.04044338524341584,0.023505550706759137,1.4097094465906732,False,0.04401279687563413
3,0.35,3,0.0,0.0,0.23038497149944306,0.024933002106679692,0.33227386970072986,0.004600724908661399,1.0,100,0.7,-0.17999280035495754,0.020142200952395828,1.4201422009523959,False,0.03238744258333463
